staff_role,count,classified_role
Inc Records Analyst,147,NON_CLINICAL
Clin Ed Transition to Practice,147,UNMAPPED
Mental Health Prof III Lic PRN,146,UNMAPPED
EMT PRN,146,TECH
ENV Housekeepers,146,EVS
RN Behav Hlth Staff - BCP,146,RN
PCT Multi Skilled,146,UNMAPPED
Asst Controller,145,UNMAPPED
Dir Laboratory,145,UNMAPPED
RN CC/IMC Adult ED,145,RN
Automation Robot,145,UNMAPPED
EFDV-Registered Nurse,145,RN
Floor Tech,144,TECH
Mgr Center UC,144,UNMAPPED
Physician Office Staff - Woman of Tx,144,PROVIDER
EVS,144,EVS
Surgical Technologist Lead,144,TECH
Assoc Environmental Svcs,143,UNMAPPED
Supv Diagnostic Imaging,143,UNMAPPED
CNA PRN,143,TECH
Dept Secretary,143,NON_CLINICAL
Billing Offsite,143,NON_CLINICAL
Mgr Diagnostic Imaging,142,UNMAPPED
CareNow â€“ 24900,142,UNMAPPED
Discrep Analyst WFH,141,NON_CLINICAL
Multi Tech LMRT UC,141,TECH
RN PCU PRN,141,RN
DHP-TeleScribe-Remote,141,TECH
Student - CRNA,141,PROVIDER
Supv Central Sterile,140,UNMAPPED
Pharmacist Intern PRN,140,ALLIED_HEALTH
Cancer Reg Ct Data Abs WFH,140,UNMAPPED
RN Progressive Care Unit,140,RN
VP Operations,139,UNMAPPED
Medical Asst II,139,MA
RN PRN I,139,RN
Mental Health Technician IPF,139,TECH
Cons Product Analyst,138,NON_CLINICAL
Student Nurse (LVL2) Jacksonville,138,RN
RN Medical Surgical (M/S),138,RN
Cardiologist,138,UNMAPPED
Underpayment Analyst-Offsite,138,NON_CLINICAL
Enrollment Counselor,138,UNMAPPED
Surgical Technologist PRN,137,TECH
Medical Lab Technician,137,TECH
TNA TDS Staff,137,UNMAPPED
Med Students Visit LR,137,NON_CLINICAL
Medical Technologist Lead,137,TECH
RN Rehabilitation,136,RN
APP - Physician Assistant (PA) OR,136,PROVIDER
RN Rehab,136,RN
MD Student,136,NON_CLINICAL
DHP-Administrative Assistant,136,NON_CLINICAL
DHP-HCIR - Healthcare Industry Rep,136,UNMAPPED
Mental Health Tech I,136,TECH
Coord Office,136,NON_CLINICAL
RN Clinical,135,RN
RN Dialysis,135,RN
Data Scientist,135,UNMAPPED
RN Cardio,135,RN
Mgr Clinic Nonlic,135,UNMAPPED
Supv Business Office,135,NON_CLINICAL
Maintenance Tech,134,TECH
Surgical Technician Cert,134,TECH
Financial Analyst,134,NON_CLINICAL
EVS Technician II,134,EVS
CTMC Medical Student,134,NON_CLINICAL
OB GYN,133,UNMAPPED
RN IPF,133,RN
Dir Patient Safety,132,UNMAPPED
RN IRF,132,RN
Histology Technologist,132,TECH
Credentialing Spec II WFH,132,UNMAPPED
Pediatric Neurology,132,PROVIDER
Coord Data,132,UNMAPPED
DHP-Certified Surgical First Assist,132,UNMAPPED
Mgr Case Mgmt,131,UNMAPPED
Surg Technologist Lead Cert,131,TECH
Infertility Medicine,131,UNMAPPED
LPN/LVN,131,RN
Indexing,131,UNMAPPED
Vascular Technologist,131,TECH
Pharmacy Resident,131,PROVIDER
Cook I,131,NON_CLINICAL
Clinical Rehab Specialist,130,UNMAPPED
Nursing Instructor -  WFDV,130,RN
CereCore Staff-Temp,130,UNMAPPED
Radiation Therapist,130,UNMAPPED
Occupational Therapy Asst PRN,129,TECH
General Contractor,129,NON_CLINICAL
Cardiac Cath Lab Tech,129,TECH
EHR Go-Live Spec TEMP  WFH,129,UNMAPPED
Clin Pharm,128,UNMAPPED
Nurse,127,RN
Nuclear Medicine Tech PRN,127,TECH
Appeal Analyst - Off Site,127,NON_CLINICAL
Spine Surgery,127,PROVIDER
LPN Extern PRN,127,RN
Credit Balance ECW Associate,127,UNMAPPED
Nursing Student - UT,127,RN
Resident II RN Med-Surg,126,RN
Student - PA,126,NON_CLINICAL
CT Technologist Reg PRN,126,TECH
Registered Nurse/Staff,126,RN
Lead Patient Care Technician,126,TECH
Staff RN,126,RN
Coord Materials Mgmt,126,UNMAPPED
CRTT,125,UNMAPPED
Mgr Critical Care,125,PROVIDER
Student Nurse (LVL2) Galen - Utah,125,RN
Sr Product Analyst,125,NON_CLINICAL
Student - 3+4 ID only,125,NON_CLINICAL
Monitor Tech II,125,TECH
Physician - SUNR,125,PROVIDER
Dir Facilities Mgmt,124,UNMAPPED
Cons EHR Support Analyst,124,NON_CLINICAL
Pt Ben Adv II,124,UNMAPPED
Medical Lab Tech,124,TECH
Virtual Pt Safety Attend,124,UNMAPPED
Student - Nursing - WHHO,124,RN
Internist,124,NON_CLINICAL
Bariatric Surgery,124,PROVIDER
AQuity - IRL Transcription,124,UNMAPPED
Student - Nursing - LRRC,124,RN
Resident I General Surgery,124,PROVIDER
EFDV-Contractor,124,NON_CLINICAL
Dir Infection Prevention,123,UNMAPPED
Dir Respiratory Therapy,123,TECH
Resp Practitioner II PRN,123,UNMAPPED
Medicare Spec WFH,123,UNMAPPED
Coord Customer Service,123,NON_CLINICAL
UCC AR Claims Associate,123,UNMAPPED
Dir Critical Care,122,PROVIDER
Respiratory Therapist CRT PRN,122,TECH
Physical Therapist HH PPV PRN,122,ALLIED_HEALTH
APP - Nurse Practitioner (NP) INPT,122,PROVIDER
EVS Tech II,122,EVS
Cons Application Eng,121,UNMAPPED
RN Cardiovascular Svcs,121,RN
Revenue Cycle Representative WFH,121,UNMAPPED
Nursing Student - UTEP,121,RN
Resident I Family Medicine,120,PROVIDER
EKG Technician,120,TECH
Transport Technician,120,TECH
Dir Nursing/Clinical,120,RN
CDRA Abstracting-IP - On_Off Site,120,UNMAPPED
Certified Registered Nurse Anesthetist,120,PROVIDER
Application Developer,120,UNMAPPED
Mgr Hospitality EVS,119,EVS
DHP-Picc Line Nurse,119,RN
Volunteer (SMC),119,NON_CLINICAL
Nursing Student - Tx Tech,119,RN
Rad Technologist ARRT PRN,119,TECH
OR Asst,118,UNMAPPED
Central Sterile Tech,118,TECH
COTA,118,UNMAPPED
COE Pharm PRN WFH,118,UNMAPPED
RN Surgery PRN,118,RN
Student Nurse Non-employee,118,RN
Resident PGY III,117,PROVIDER
Security Officer Armed PRN,117,SECURITY
Dietary Asst,117,NON_CLINICAL
Nurse Practitioner UCMDN,117,PROVIDER
Allied Professional,117,UNMAPPED
Mgr Surgical Svcs,116,UNMAPPED
RN Endo PRN,116,RN
MRI tech,116,TECH
DHP-Dental Assistant,116,UNMAPPED
DHP-Environmental Services Aide,116,EVS
Clinical Appeals RN- Offsite,116,RN
NCCM UCC Voice Work,116,UNMAPPED
Mammography Technologist,115,TECH
Laboratory Asst II,115,TECH
Project Mgr,115,UNMAPPED
RN Mental Health,115,RN
FANS Float,115,UNMAPPED
Resident - Family Medicine,115,PROVIDER
Anes Technician,114,TECH
Echo Technologist PRN,114,TECH
GME Resident,114,PROVIDER
Faculty WFH,114,NON_CLINICAL
FNS Technician,114,TECH
Tech LMRT UC,114,TECH
Dir Med Staff Svcs,113,UNMAPPED
RN Orthopedic,113,RN
RN EE Health,113,RN
RN Surgical Svcs PRN,113,RN
OPO Coordinator - Organ Procurement RN,113,RN
Nurse Extern Float PRN,113,RN
Student - RN,113,RN
Complex Specimen Processor,113,UNMAPPED
Charge Entry Specialist,113,UNMAPPED
Sr Expanse Trainer WFH,113,UNMAPPED
RN Specialty Unit,113,RN
Intensivist,113,UNMAPPED
Resident VI,112,PROVIDER
Physician Office Staff-Biller,112,PROVIDER
Contractor- Real Estate,112,NON_CLINICAL
Respiratory Student,112,NON_CLINICAL
Respiratory Therapy Student,112,NON_CLINICAL
DHP-Laser Technician,111,TECH
Clin Nurse Coord PC,111,RN
Nursing Student - ACC,111,RN
RN Trauma,111,RN
Food & Nutrition Svcs,111,NON_CLINICAL
RN PreOp PRN,111,RN
Nuclear Medicine Technol PRN,110,UNMAPPED
Mgr Central Sterile,110,UNMAPPED
Medical Lab Scientist PRN,110,UNMAPPED
RN Lactation Consultant,110,RN
Dietary Asst PRN,109,NON_CLINICAL
UCLA-West Hills Contractor,109,NON_CLINICAL
RN NICU NSN,109,RN
Claims Res Spec WFH,109,UNMAPPED
Exec Chef,108,UNMAPPED
Pt Supp Spec WFH,108,UNMAPPED
RN PAT,108,RN
RN-Emergency room,108,RN
Clinical Lab Asst PRN,108,TECH
Police Officer PRN,108,SECURITY
Diet Tech,108,TECH
Top Dollar Collector WFH,108,NON_CLINICAL
Physician Office Staff/Support,108,PROVIDER
Dir IT,107,UNMAPPED
Resident II Emergency Medicine,107,PROVIDER
Mental Health Technician II,107,TECH
Surgical Technologist III,107,TECH
RN Case manager,107,RN
Nursing Instructor -  Las Vegas,107,RN
RMC-County Personnel,107,UNMAPPED
Underpymt Analyst WFH,107,NON_CLINICAL
Student Pharmacy,107,NON_CLINICAL
RN FSED PRN,106,RN
Mid Level Nurse Practitioner,106,PROVIDER
CRNA PRN,106,PROVIDER
RN Special Procedures,106,RN
RN LDRP PRN,106,RN
Appeals Spec WFH,106,UNMAPPED
FANS Hostess,105,UNMAPPED
Medical Office Specialist PRN,105,NON_CLINICAL
RN Oncology,105,RN
Pulmonology,105,PROVIDER
Radiology Student,105,NON_CLINICAL
Vendor - LifeShare,105,NON_CLINICAL
External Reviewer - Remote Access,105,UNMAPPED
Mgr Hospitality FNS,104,UNMAPPED
OR Int Ctl Coord,104,UNMAPPED
Vendor Temp,104,NON_CLINICAL
RN Endoscopy,104,RN
MIPS Abstractor Associate,104,NON_CLINICAL
Pediatric Gastroenterology,104,PROVIDER
NET AR Analyst WFH,104,NON_CLINICAL
DHP-Clinical Liaison,104,UNMAPPED
Physician Assistant UCMDN,104,PROVIDER
Respiratory Care Pract II,104,TECH
Sr Financial Analyst,104,NON_CLINICAL
Surgical Technician,104,TECH
Surgical/OR Tech Cert PRN,103,TECH
Social Worker BSW PRN,103,ALLIED_HEALTH
RN MICU,103,RN
Surgical/OR Technician PRN,103,TECH
Medical Asst UCMDN PRN,103,MA
FAC SC OR Tech,103,TECH
Mgr Surgery,102,PROVIDER
FAC SC Tech II,102,TECH
DHP-Licensed Surgical Assistant (LSA),102,UNMAPPED
Inpatient Auth Specialist WFH,102,UNMAPPED
Student Nurse (LVL2) Wichita,102,RN
Env Svc Aide I,102,UNMAPPED
RN Neonatal Intensive Care Uni...,102,RN
Early out except npas-on_off site,102,UNMAPPED
EEG Technician,101,TECH
Nuclear Medicine Technician,101,TECH
Central Sterile Technician PRN,101,TECH
Histology Technician,101,TECH
Cashiering Workflow-Off Site,101,UNMAPPED
Student (Medical),101,NON_CLINICAL
Pharmacy Technician Cert,101,TECH
Maintenance Technician,101,TECH
MRI Technician PRN,101,TECH
Student - Anesthesia Assistant,101,NON_CLINICAL
RN Surgical Svcs/OR PRN,100,RN
Med Student Core LR,100,NON_CLINICAL
Chaplain,100,UNMAPPED
POC Scheduler,100,NON_CLINICAL
Med Lab Tech,100,TECH
RN Cardiac Cath/EP Lab Staff - BCP,100,RN
TNA Physician,100,PROVIDER
RN Pediatric Staff - BCP,99,RN
Pediatric Hematology/Oncology,99,PROVIDER
CCU - HBS HM Associate,99,UNMAPPED
ED Resident,99,PROVIDER
Sterile Proc Tech Cert II,99,TECH
APP - Nurse Practitioner,99,PROVIDER
Truck Driver,99,UNMAPPED
EVS Assoc II,99,EVS
Patient Care Tech Cert PRN,98,TECH
Mgr Facilities Mgmt,98,UNMAPPED
Medical Laboratory Tech PRN,98,TECH
RN WFH,98,RN
Advanced PCT PRN,98,UNMAPPED
RN Nenoatal Intensive Care Unit (ICU),98,RN
RN Intensive Care Unit (ICU),98,RN
Insurance Verification-Off Site,98,UNMAPPED
Patient Care Liaison WFH,98,UNMAPPED
Senior - Software Engineer,98,UNMAPPED
Mgr Emergency Svcs FSED,97,UNMAPPED
Mgr Laboratory,97,UNMAPPED
Nursing Student Instructor,97,RN
Coord Clinical Research,97,UNMAPPED
Insurance Verifier,97,UNMAPPED
PCT PRN,97,UNMAPPED
RI Charge Analyst WFH,97,NON_CLINICAL
Cancer Registry Abstracting-On_Off Site,97,UNMAPPED
Dietary Aide,97,NON_CLINICAL
ITSD PWR Agent,97,UNMAPPED
Telecom Operator PRN,96,UNMAPPED
Mgr Progressive Care,96,UNMAPPED
FAC SC Tech PRN,96,TECH
Provider Solutions Specialist,96,UNMAPPED
RN Neuro ICU,96,RN
Precertification Rep WFH,96,UNMAPPED
APP - Other,96,PROVIDER
RN Student,96,RN
PDU Analyst Offsite,96,NON_CLINICAL
Mgr Food & Nutrition Svcs,96,NON_CLINICAL
Anesthesiologist,96,PROVIDER
Social Worker,96,ALLIED_HEALTH
Med Student Yr 4  / GME WRMC,96,NON_CLINICAL
Student - Physical Therapist,96,NON_CLINICAL
Accountant II,95,UNMAPPED
Dir Clinical Informatics,95,UNMAPPED
Medical Technologist II,95,TECH
RN OT8,95,RN
Dir Clin Res,95,UNMAPPED
Prebill Denials RN -Offsite,95,RN
Vendor Biller,95,NON_CLINICAL
PT Student,95,NON_CLINICAL
Sr EHR Support Analyst,94,NON_CLINICAL
Student Nurse Non-Employee - BR,94,RN
Virtual Registrar PRN WFH,94,NON_CLINICAL
Instructor - Nursing Northern VA,94,RN
Collections Specialist,94,NON_CLINICAL
Nursing Instructor -  Nashville,94,RN
Sous Chef,93,UNMAPPED
RN-PRN,93,RN
EKG Technician PRN,93,TECH
APP - Nurse Anesthetist,93,PROVIDER
Case Manager,92,UNMAPPED
RN Cardiac Cath Lab PRN,92,RN
Line Cook,92,NON_CLINICAL
EVS Assistant/Aide,92,EVS
FANS Rep,92,UNMAPPED
Organ Procurement,92,UNMAPPED
Exercise Physiologist,92,UNMAPPED
Lactation Consultant,92,NON_CLINICAL
EVS Attendant,92,EVS
Multi Tech BXMO UCMDN,92,TECH
Dir Quality,91,UNMAPPED
EVS Lead,91,EVS
Program Professional WFH,91,UNMAPPED
Food/Nutrition Hostess-Dietary,91,NON_CLINICAL
Pathology Asst,91,PROVIDER
DHP-Clinical Technician,91,TECH
RN Unit Based PRN,91,RN
Nutrition Care Asst,91,NON_CLINICAL
RN Bone Marrow Transplant,91,RN
Cath Lab Tech,90,TECH
Nursing Instructor,90,RN
Care Team Assoc,90,UNMAPPED
Env Svcs Tech I,90,TECH
Practice Specialist II,90,UNMAPPED
VOLUNTEER,90,NON_CLINICAL
Clinical Nurse Coordinator,90,RN
DHP-IT Support,90,UNMAPPED
Sr Analyst AP,89,NON_CLINICAL
Student OT,89,NON_CLINICAL
Ultrasound Technol Multi Reg,89,UNMAPPED
Physician Office Staff - Mainland,89,PROVIDER
Mental Health Tech,89,TECH
Dietician,89,UNMAPPED
Admin Care Tech,89,TECH
Registered Nurse - Surgery,89,RN
NCCM Marketing,89,UNMAPPED
Endo/GI Technician PRN,89,TECH
Revenue Integrity Workflow,89,UNMAPPED
OR Tech PRN,88,TECH
Surg Trauma,88,PROVIDER
DHP-Autotransfusionist Non-Certified,88,UNMAPPED
RN SNF-Rehab Staff - BCP,88,RN
UNC Pharmacy Student - Inpatient,88,NON_CLINICAL
OR Technician Cert PRN,87,TECH
DHP-Pathology Assistant,87,PROVIDER
Cons Application Eng WFH,87,UNMAPPED
Patient Rep UCMDN PRN,87,NON_CLINICAL
Mat Handler PRN,87,SUPPLY_CHAIN_TECH
HVAC Tech,87,TECH
Certified Scrub Technician,87,TECH
Radiation Therapist PRN,87,UNMAPPED
Resident III Family Medicine,86,PROVIDER
Dietitian PRN,86,ALLIED_HEALTH
EPA Staff,86,UNMAPPED
Mental Health Tech II,86,TECH
Senior Analyst - Hosp Accounting,86,NON_CLINICAL
EVS Associate PRN,85,EVS
Floor Specialist I,85,UNMAPPED
EVS Worker,85,EVS
Cardiac Cath Lab Technician,85,TECH
Student Nurse (LVL2) Galen - Denver,85,RN
Mental Health Tech IPF PRN,85,TECH
Physician Assistant UC PRN,85,PROVIDER
Physical Therapist (S),85,ALLIED_HEALTH
Cons Provider Solutions Spec,85,UNMAPPED
CCU - PHY HBP Quality Auditor,85,UNMAPPED
Administrative Assistant,85,NON_CLINICAL
RN Wound Care PRN,85,RN
Project Mgr II,84,UNMAPPED
Coord Quality,84,UNMAPPED
Onboarding Admin Tier II WFH,84,NON_CLINICAL
LPN Med/Surg PRN,84,RN
Envrmntl Svc Asst,84,UNMAPPED
Student Nurse (LVL2) Sarasota,84,RN
Special Procedures Technician,84,TECH
Supv Clinic RN,84,RN
Provider Enroll Spec WFH,84,UNMAPPED
Sr Counsel,84,UNMAPPED
DHP-Admissions Nurse,84,RN
LRMC-Officer,84,NON_CLINICAL
Surg Technologist OB Cert PRN,83,TECH
Maintenance Mechanic III,83,UNMAPPED
Physical Ther Asst PPV PRN,83,UNMAPPED
Product Analyst II,83,NON_CLINICAL
Occupational Therapy Asst,83,TECH
RN Ambulatory Care,83,RN
Pediatrician,83,UNMAPPED
Surgery Scheduler WFH,83,PROVIDER
Therapist Physical,83,UNMAPPED
RN LDRP,83,RN
Dietary Technician PRN,83,TECH
Student - Instructor,83,NON_CLINICAL
Maintenance Mechanic,83,UNMAPPED
Security Officer Firearms PRN,82,SECURITY
RN Rapid Response,82,RN
Asst CFO,82,UNMAPPED
Clin Pharm PRN,82,UNMAPPED
EEG Technician PRN,82,TECH
VCM Analyst WFH,82,NON_CLINICAL
Account Executive,82,UNMAPPED
Echo Technician PRN,82,TECH
Student - Lab,82,NON_CLINICAL
PT Student Non-Employee,82,NON_CLINICAL
Administrative Care Tech PRN,82,TECH
Room Service Team Member,82,NON_CLINICAL
CWF Indexing,81,UNMAPPED
Resp Care Practitioner PRN,81,UNMAPPED
Complex Specimen Processor PRN,81,UNMAPPED
Lead Transporter,80,NON_CLINICAL
Transport EMT,80,TECH
Clin Nurse Coord II,80,RN
VP Quality,80,UNMAPPED
Contractor- Internal Audit - Nashville,80,NON_CLINICAL
RN SpecII/PRN,80,RN
RN System Resource Pool,80,RN
QA Spec WFH,80,UNMAPPED
Student - Nursing - GSHO,80,RN
Business Office Specialist,80,NON_CLINICAL
EVS Asst Lead,80,EVS
Clinical Rehab Specialist PRN,80,UNMAPPED
Behavioral Health Tech PRN,80,PROVIDER
Laboratory Technician,80,TECH
Security,80,SECURITY
RN Pediatrics PRN,80,RN
Analyst - Purchasing,80,NON_CLINICAL
Cardiovascular Technician,79,TECH
Mgr Rehab Svcs,79,UNMAPPED
RN Dialysis Travel PRN,79,RN
Sanitation Specialist,79,UNMAPPED
Surgical Technologist II,79,TECH
EVS Technician Lead,79,EVS
UCLA - IT Staff,79,UNMAPPED
Hospitality Associate EVS,79,EVS
Medical Technologist ASCP,79,TECH
FNS Aide,79,UNMAPPED
RN Staff PRN,79,RN
Mammography Technologist PRN,78,TECH
Mental Health Tech I PRN,78,TECH
Customer Service Rep,78,NON_CLINICAL
Billing Spec WFH,78,NON_CLINICAL
Telehealth Vendor,78,NON_CLINICAL
Patient Transporter PRN,78,NON_CLINICAL
Support Non-Operational,78,UNMAPPED
Student Nurse Non-Employee - LR,78,RN
CereCore Temp-Staff,78,UNMAPPED
Coord Billing WFH,78,NON_CLINICAL
Rad Technologist ARRT,78,TECH
Clin Nurse Coord Med/Surg,78,RN
Mental Health Technician I,78,TECH
Medical Lab Technician PRN,77,TECH
Resident III Emergency Med,77,PROVIDER
Respiratory Therapy,77,TECH
Resident Fellow,77,PROVIDER
Nursing Student - Concordia,77,RN
Dir Physician Services I,77,PROVIDER
Sr Patient Care Liaison WFH,77,UNMAPPED
BI Analyst Cred WFH,77,NON_CLINICAL
Nursing Instructor -  Austin,77,RN
Overpymt Analyst WFH,77,NON_CLINICAL
Application Eng II,77,UNMAPPED
Transport EMT PRN,76,TECH
FNS Clerk/Cashier,76,NON_CLINICAL
Supv SC,76,UNMAPPED
Histotechnologist,76,TECH
Respiratory Care Practitioner,76,TECH
Lead Mental Health Tech,76,TECH
PCT Multi Skilled PRN,76,UNMAPPED
Product Analyst,76,NON_CLINICAL
Neonatal-Perinatal Medicine,76,PROVIDER
Student Pharmacy Non-emp,76,NON_CLINICAL
PATRA EMS Vendor,76,NON_CLINICAL
RN Unit Based WOW,76,RN
Resident - Internal Medicine,76,PROVIDER
NP Service Line Support,76,UNMAPPED
Chaplain PRN,76,UNMAPPED
RN Med/Surg/Oncology,76,RN
CSR Tier I WFH,76,UNMAPPED
Admin TL WFH,76,NON_CLINICAL
Sr HRBP,75,UNMAPPED
Coord RN WFH,75,RN
AP Spec PO WFH,75,UNMAPPED
RN Admissions,75,RN
FANS Assistant,75,UNMAPPED
Surgical Technologist Cert II,75,TECH
Speech Pathologist,75,UNMAPPED
Student - Occupational Therapy,75,NON_CLINICAL
Senior Analyst \uFFFD CSG Accounting,75,NON_CLINICAL
FNS Associate,74,UNMAPPED
Dir Rehab Svcs,74,UNMAPPED
Tech NCT UC,74,TECH
Clinical Analyst,74,NON_CLINICAL
Accretive Health Care,74,UNMAPPED
RESIDENT/FELLOW,74,PROVIDER
Coord EVS,74,EVS
Non-Emp Volunteer,74,NON_CLINICAL
Mgr Respiratory Therapy,73,TECH
RN General PRN,73,RN
LPN/LVN PPV BHS PRN,73,RN
RN OB,73,RN
Pharmacist Clinical Specialist,73,ALLIED_HEALTH
Practice Specialist III,73,UNMAPPED
APP - Physician Assistant,73,PROVIDER
HIM Support Spec WFH,73,UNMAPPED
RN Neonatal Staff,73,RN
Surg Orthopedic,73,PROVIDER
Coder,73,NON_CLINICAL
Multi-Modality Tech,73,TECH
Microbiology Technologist PRN,73,TECH
Physician Office Staff - Pearland,73,PROVIDER
Administrative Care Technician,73,TECH
Staff Pharmacist,72,ALLIED_HEALTH
Rehab Technician PRN,72,TECH
LPN IV Cert,72,RN
MLT or Lab Tech Student,72,NON_CLINICAL
Physician Assistant  Emergency,72,PROVIDER
Pathologist,72,UNMAPPED
RN Neuro Trauma ICU,72,RN
Supv Rehab Svcs,72,UNMAPPED
Medical Technician,72,TECH
Med Student Yr 4  / GME NWMC,72,NON_CLINICAL
Business Analyst,72,NON_CLINICAL
EVS Tech 1,72,EVS
RN Pediatrics/PICU,72,RN
Resp Therapist NICU/Peds RRT,72,TECH
Operator PBX,72,NON_CLINICAL
Pharmacy Technician III,72,TECH
RN Labor&Delivery,72,RN
RN Telemetry/PCU,71,RN
RN-Emerg Svcs,71,RN
Endoscopy Technician PRN,71,TECH
Pharmacy Intern PRN,71,NON_CLINICAL
Sr Project Mgr,71,UNMAPPED
Occupational Ther HH PPV PRN,71,UNMAPPED
PreReg Rep WFH,71,UNMAPPED
Imaging Student Extern PRN,71,NON_CLINICAL
Coding Integ Spec I WFH,70,UNMAPPED
Nursing Student Extern PRN,70,RN
Sonography student,70,NON_CLINICAL
CRNA - RN Anesthetist,70,PROVIDER
MedReceivables Vendor,70,NON_CLINICAL
CT Techician,70,UNMAPPED
Physician Assistant PRN,70,PROVIDER
Customer Advisor II WFH,70,NON_CLINICAL
Medical Student / GME NJFK,70,NON_CLINICAL
Student - OT,70,NON_CLINICAL
Student Nurse (LVL2) Galen - Sarasota,70,RN
Billing Office Staff,70,NON_CLINICAL
RN Diagnostic Imaging - BCP,70,RN
Rad Tech,70,TECH
Physician Office Staff Biller (HM),70,PROVIDER
Patient Registration Rep,70,UNMAPPED
Clinical Denials Follow Up Associate,70,UNMAPPED
RN Flight Nurse,69,RN
Radiology Technol ARRT PRN,69,PROVIDER
Collections Analyst WFH,69,NON_CLINICAL
Student - Nursing - SHLV,69,RN
Advanced Patient Care Tech PRN,69,TECH
CT/MRI Specialist 3D,69,UNMAPPED
Cardiac Cath Lab Rad Tech,69,TECH
Mgr Clinic Lic,69,UNMAPPED
Surgical Technician Cert PRN,69,TECH
Electrician,68,UNMAPPED
OR Technician II,68,TECH
Anes Technician PRN,68,TECH
RN Progressive Care (PRN),68,RN
Hospitality Associate FNS I,68,UNMAPPED
Cons Technical Analyst,68,NON_CLINICAL
Multi Tech MA UC PRN,68,TECH
Security Guard,68,SECURITY
LTAC-RN,68,RN
Volunteer - Badge Only,68,NON_CLINICAL
Unit Clerk,68,NON_CLINICAL
Clin Ed Prof Dev Spec Srv Line,68,UNMAPPED
Student PA,68,NON_CLINICAL
Resident II Family Medicine,68,PROVIDER
Nursing Instructor -  Denver,68,RN
Student Nurse (LVL2) Galen - Orlando,68,RN
Mgr Quality,67,UNMAPPED
Special Procedures Tech PRN,67,TECH
Hospitality Assoc Room Srvc,67,UNMAPPED
RN II IRF,67,RN
Respiratory Therapist Cert,67,TECH
Medical Student / GME MERC,67,NON_CLINICAL
RN Cardiovascular Svcs PRN,67,RN
Lead Monitor Tech,67,TECH
SWAT Analyst WFH,67,NON_CLINICAL
PTAC Report Analyst WFH,67,NON_CLINICAL
Payroll Spec WFH,67,UNMAPPED
Coding TL WFH,67,UNMAPPED
Surgical First Assist,67,UNMAPPED
CRNA Student,67,PROVIDER
Psychiatrist,67,UNMAPPED
Div Clinical Simulation Spec,67,UNMAPPED
Maintenance Mechanic II,67,UNMAPPED
FNS Cashier,67,UNMAPPED
Physician Assistant Surg,67,PROVIDER
Med Student Yr 4  / GME AHMC,67,NON_CLINICAL
Laboratory Assistant,67,UNMAPPED
Mgr Center UCMDN,67,UNMAPPED
Student-PA/APRN,67,NON_CLINICAL
Application Analyst Temp WFH,67,NON_CLINICAL
Student - Nursing - SJHE,67,RN
Student Radiology,67,NON_CLINICAL
Coord Section,66,UNMAPPED
Application Analyst II,66,NON_CLINICAL
Resp Therapy Student PRN,66,NON_CLINICAL
Radiology Technologist ARRT,66,PROVIDER
Mechanic II,66,UNMAPPED
Patient Access Specialist,66,UNMAPPED
Maintenance Engineer,66,UNMAPPED
Manage Care with Insurance - IEHP,66,UNMAPPED
Phys Pract Staff - HCAPS,66,UNMAPPED
Certified Surgical Technician (CST) / Operating Room Tech,66,TECH
Student Nurse Non-Employee - LW,66,RN
Nursing Instructor -  Central Virginia,66,RN
RN SICU,66,RN
Pediatric Endocrinology,66,PROVIDER
Radiology Student Intern PRN,66,NON_CLINICAL
Case Mgmt Asst,65,UNMAPPED
Sanitation Asst,65,UNMAPPED
RN Lactation Consultant PRN,65,RN
RN Super Pool,65,RN
Endoscopy Tech,65,TECH
Nurse Technician PRN,65,RN
Certified Surgical Tech,65,TECH
UCC Cash Posting Associate,65,UNMAPPED
Student - Social Worker,65,NON_CLINICAL
Pt Supp Rep II WFH,65,UNMAPPED
Coord Clinical Nurse,65,RN
IT-On_Off Site,65,UNMAPPED
General Surgeon,65,PROVIDER
Pharmacy Clinical/Oper Spec,65,UNMAPPED
Radiologic Technologist,65,TECH
Certified Nursing Asst (PRN),65,RN
