staff_role,count,classified_role
Senior Analyst - Period End,169,NON_CLINICAL
EVS Technician PRN,168,EVS
Billing Specialist,168,NON_CLINICAL
FANS Vendor,168,NON_CLINICAL
Student - Nursing - MVHO,168,RN
EVS Specialist,168,EVS
Sr Accountant,167,UNMAPPED
Nuclear Medicine Technologist,166,TECH
Coord HR,166,UNMAPPED
Student Nurse (LVL2) Dallas,166,RN
RN Behavioral Health PRN,165,RN
RN Wound Care,165,RN
General,165,UNMAPPED
Thoracic Surgery,165,PROVIDER
FAC SC Equip Tech,164,TECH
RN Womens Svcs PRN,163,RN
Radiologic Tech,163,TECH
Coord Trauma,163,PROVIDER
EVS Assoc PRN,163,EVS
Microbiology Technologist,163,TECH
Physician UC,163,PROVIDER
Telecom Operator,162,UNMAPPED
Endoscopy Technician,162,TECH
Special Procedures Tech,162,TECH
Medical Asst PRN,162,MA
RN Cardiac Cathetarization Laboratory,162,RN
Supv Clinic Nonlic,162,UNMAPPED
Charge Support Spec WFH,162,UNMAPPED
CT Technician PRN,161,TECH
Physical Therapy Student,161,NON_CLINICAL
Dietitian,161,ALLIED_HEALTH
Diet Clerk,161,NON_CLINICAL
Echo Tech,161,TECH
Case Mgr PRN,160,UNMAPPED
Sonographer,160,TECH
Central Sterile Tech Cert,160,TECH
Hand Surgery,160,PROVIDER
DHP-Dietitian,160,ALLIED_HEALTH
Fac HIM Coord,159,UNMAPPED
OR Technician Cert,159,TECH
LIP-Radiology,159,PROVIDER
Cardiovascular Disease,159,UNMAPPED
FNS Assoc II,158,UNMAPPED
Meditech Analyst Temp WFH,158,NON_CLINICAL
Student/Intern,158,NON_CLINICAL
DHP-Dialysis Nurse-RN,157,RN
Nurse Navigator WFH,157,RN
RN Med/Surg/Telemetry,156,RN
Pharmacy Technician Specialist,156,TECH
EVS Asst II,156,EVS
Asst CNO,155,UNMAPPED
Respiratory Therapist PRN,155,TECH
Nursing Student Non-Employee,154,RN
Clinical Nurse Coord,153,RN
Mgr Procedural Ops,153,UNMAPPED
Surgical Technologist OB Cert,153,TECH
Instructor - Nursing - Middle Tennessee Market,153,RN
RN IV,153,RN
Pharmacy Tech,152,TECH
MRI Technician,152,TECH
CLS III,152,UNMAPPED
LPN Med/Surg,152,RN
Sonographer PRN,151,TECH
FAC SC Equip Coord,151,UNMAPPED
Clin Nurse Coord W/E,151,RN
Assoc Client Supp Analyst WFH,151,NON_CLINICAL
Administrator,151,NON_CLINICAL
Student Nurse (LVL2) Galen - Pinellas,150,RN
Appeals Collector - Off Site,150,NON_CLINICAL
Guest Services Technician,150,TECH
Facility Tech Refresh,150,TECH
RN Outpt Surgery,149,RN
Anesthesia Technician PRN,149,PROVIDER
RN Psychiatric,149,RN
Student Nurse Non-EMP CN,149,RN
Physician Office Staff (ANES),149,PROVIDER
Surgical Services Aide PRN,148,UNMAPPED
Certified Nursing Asst,148,RN
Clinical Lab Asst,148,TECH
Student - Nursing Instructor Any,148,RN
LPN Medical Surgical,148,RN
DHP-Scheduler-IvyVentures,148,NON_CLINICAL
RN BHS,148,RN
Dir Diagnostic Imaging,147,UNMAPPED
Dir Fac Comms & CE,147,UNMAPPED
Speech Therapist,147,UNMAPPED
Spec Con Review/Query WFH,147,UNMAPPED
Courier,147,UNMAPPED
RN Mother-Baby,147,RN
Nursing Instructor -  Southern California,147,RN
